Timestamp,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Gesture
23960.0,-0.9825439453125,-0.28564453125,-0.0084228515625,2.591463414634146,2.317073170731708,-5.853658536585367,Shaking
24000.0,-0.97802734375,-0.2833251953125,-0.0108642578125,2.408536585365854,3.018292682926829,-10.091463414634148,Shaking
24040.0,-0.9739990234375,-0.2838134765625,-0.010498046875,1.0365853658536586,-3.75,0.853658536585366,Shaking
24080.0,-0.97607421875,-0.2833251953125,-0.0106201171875,0.0,-3.353658536585366,3.0487804878048776,Shaking
24120.0,-0.979248046875,-0.25,-0.011474609375,-9.176829268292684,-2.9878048780487814,3.8109756097560985,Shaking
24160.0,-0.984375,-0.2469482421875,-0.01123046875,-10.396341463414632,-3.841463414634146,3.4756097560975614,Shaking
24200.0,-0.9637451171875,-0.2584228515625,0.012451171875,-5.579268292682928,1.3109756097560976,-3.6585365853658534,Shaking
24240.0,-1.0338134765625,-0.1552734375,-0.0374755859375,-28.506097560975608,-17.743902439024392,-1.859756097560976,Shaking
24280.0,-1.069091796875,-0.134521484375,-0.0162353515625,-92.89634146341464,-46.09756097560976,-3.353658536585366,Shaking
24320.0,-1.06396484375,-0.131103515625,-0.0220947265625,-168.8109756097561,-103.8719512195122,7.987804878048781,Shaking
24360.0,-0.9971923828125,-0.183349609375,0.0115966796875,-246.9207317073171,-145.79268292682931,-2.2560975609756095,Shaking
24400.0,-0.9046630859375,-0.386474609375,0.097900390625,-268.8414634146342,-174.20731707317074,-0.27439024390243905,Shaking
24440.0,-0.7713623046875,-0.4947509765625,0.1676025390625,-184.1158536585366,-122.74390243902441,10.426829268292684,Shaking
24480.0,-0.734375,-0.5792236328125,0.19921875,-50.426829268292686,-12.621951219512196,-1.7378048780487807,Shaking
24520.0,-0.72998046875,-0.599853515625,0.0875244140625,125.1219512195122,112.53048780487806,-5.7926829268292686,Shaking
24560.0,-0.79248046875,-0.509033203125,-0.0631103515625,299.4817073170732,245.21341463414643,-21.859756097560982,Shaking
24600.0,-0.91259765625,-0.3607177734375,-0.1939697265625,366.40243902439033,302.1036585365854,-42.25609756097561,Shaking
24640.0,-1.07177734375,-0.2098388671875,-0.2825927734375,370.3658536585366,298.8109756097561,-50.70121951219512,Shaking
24680.0,-1.14111328125,-0.083984375,-0.27197265625,283.4451219512196,207.2560975609756,-43.75000000000001,Shaking
24720.0,-1.178466796875,-0.068603515625,-0.24072265625,150.33536585365852,91.5548780487805,-28.018292682926827,Shaking
24760.0,-1.15185546875,-0.076416015625,-0.2119140625,10.365853658536588,-26.463414634146343,-10.274390243902438,Shaking
24800.0,-1.0936279296875,-0.089111328125,-0.2322998046875,-120.1219512195122,-116.3719512195122,23.56707317073171,Shaking
24840.0,-1.029541015625,-0.15478515625,-0.17333984375,-225.30487804878052,-186.31097560975613,28.109756097560982,Shaking
24880.0,-1.007080078125,-0.2421875,-0.1514892578125,-294.23780487804885,-236.15853658536588,37.957317073170735,Shaking
24920.0,-0.910888671875,-0.3983154296875,-0.016845703125,-313.5365853658537,-239.4207317073171,38.01829268292683,Shaking
24960.0,-0.8209228515625,-0.48291015625,0.072265625,-240.18292682926838,-192.65243902439025,39.90853658536586,Shaking
25000.0,-0.754150390625,-0.5394287109375,0.1572265625,-140.39634146341464,-114.8780487804878,18.902439024390247,Shaking
25040.0,-0.7125244140625,-0.546630859375,0.16748046875,-7.469512195121952,27.164634146341466,-11.03658536585366,Shaking
25080.0,-0.7119140625,-0.517333984375,0.109130859375,154.54268292682931,138.50609756097566,-28.56707317073171,Shaking
25120.0,-0.8753662109375,-0.4466552734375,-0.0306396484375,283.6585365853659,241.89024390243904,-43.29268292682927,Shaking
25160.0,-0.996826171875,-0.242431640625,-0.1539306640625,303.14024390243907,261.73780487804885,-56.280487804878064,Shaking
25200.0,-1.138916015625,-0.166748046875,-0.185546875,245.27439024390247,206.58536585365852,-57.7439024390244,Shaking
25240.0,-1.158935546875,-0.1357421875,-0.1778564453125,142.89634146341464,97.6829268292683,-38.810975609756106,Shaking
25280.0,-1.0877685546875,-0.1700439453125,-0.1884765625,30.975609756097565,5.853658536585367,-24.90853658536585,Shaking
25320.0,-1.0194091796875,-0.2115478515625,-0.122802734375,-38.628048780487816,-51.82926829268293,3.6890243902439033,Shaking
25360.0,-0.961181640625,-0.2681884765625,-0.1251220703125,-77.22560975609757,-83.01829268292684,15.640243902439027,Shaking
25400.0,-0.9345703125,-0.31494140625,-0.0782470703125,-102.95731707317074,-90.4878048780488,13.597560975609758,Shaking
25440.0,-0.9473876953125,-0.3013916015625,-0.0537109375,-110.1829268292683,-85.64024390243901,24.29878048780488,Shaking
25480.0,-0.8958740234375,-0.329345703125,-0.0228271484375,-93.3841463414634,-69.08536585365854,14.969512195121954,Shaking
25520.0,-0.9481201171875,-0.3529052734375,-0.0386962890625,-79.72560975609757,-46.371951219512205,24.481707317073173,Shaking
25560.0,-0.9317626953125,-0.34619140625,0.0096435546875,-51.280487804878064,-41.4329268292683,22.835365853658534,Shaking
25600.0,-0.947021484375,-0.303466796875,-0.0145263671875,-39.08536585365854,-32.46951219512195,19.969512195121954,Shaking
25640.0,-0.92919921875,-0.3092041015625,-0.008056640625,-13.109756097560975,-23.53658536585366,5.701219512195122,Shaking
25680.0,-0.979736328125,-0.290283203125,-0.00244140625,-8.719512195121952,-17.31707317073171,-0.2134146341463415,Shaking
25720.0,-0.9700927734375,-0.282958984375,-0.00048828125,-3.75,-4.969512195121951,11.280487804878051,Shaking
